ID,LMSTAR,ELLIP,INTR_ELLIP,LAMBDAR_RE,LAMBDAR_RE_EO
5263 ,10.77032763724167,0.37585998,0.49927998,0.35939163,0.3544314
2331 ,10.341861907251888,0.18992001,0.4608,0.19964248,0.3563938
6516 ,10.268290357245268,0.12996,0.25576,0.23163995,0.20003304
674  ,10.984205316863648,0.09881997,0.08519,0.22250763,0.232333
900  ,11.015767715928492,0.012380004,0.35407,0.19084495,0.19126463
22185,9.882467112064028,0.056490004,0.06985003,0.31332952,0.2712426
3610 ,10.91369639358241,0.10216999,0.29134,0.095352046,0.22233306
4549 ,11.078994972873403,0.19238001,0.48733002,0.4009513,0.33687466
11987,10.202436997709121,0.030110002,0.16815001,0.13462938,0.1927014
18291,10.176850259877499,0.039900005,0.040629983,0.10247359,0.31782556
6913 ,10.918095649030159,0.28148,0.53791,0.46675348,0.5203121
4287 ,10.052442788919217,0.21559,0.43456,0.2939749,0.2976028
9805 ,10.265233275275452,0.105480015,0.34846002,0.3006002,0.18618493
4783 ,10.459544995039739,0.22309,0.30185002,0.23337182,0.23721634
5924 ,10.804128839313377,0.107819974,0.40089,0.29501173,0.27496535
11908,10.325555812284783,0.29518002,0.29292,0.28520992,0.22074313
50647,11.039249323053177,0.26165998,0.30769002,0.20328656,0.19978453
411  ,11.543373741560814,0.21016002,0.36681998,0.40490237,0.3759095
999  ,11.128507359461997,0.22447002,0.13213003,0.26185936,0.2838898
48   ,11.108898725240236,0.38606,0.70335996,0.5378035,0.50595397
51730,10.783962983089642,0.087849975,0.083490014,0.103285596,0.098344766
10339,10.375739132325753,0.08108002,0.24425,0.07735725,0.08784848
11078,10.227497023439305,0.22285998,0.33914,0.37811345,0.16517718
50854,11.42164165325476,0.24041998,0.31063002,0.08322182,0.07937893
36057,10.191409529266762,0.40384,0.38686,0.09232835,0.13164163
6831 ,10.744485856883449,0.15889001,0.2594,0.2596209,0.2510297
9350 ,10.210713984009653,0.06358999,0.38199002,0.28455007,0.26748943
29683,10.164350516238791,0.036059976,0.20635998,0.20040578,0.18827072
3475 ,10.187397612965578,0.11511999,0.27089,0.1021282,0.35564435
566  ,10.918546213802417,0.26421,0.48964,0.49680287,0.37042737
25337,10.256056711435914,0.034449995,0.41718,0.22822969,0.20411868
2558 ,10.82852497213871,0.34516,0.59371996,0.43936542,0.30224493
52911,10.497571329869167,0.36918998,0.40894002,0.40800294,0.61618483
8314 ,10.277614210698081,0.01959002,0.039870024,0.104013406,0.09271231
1572 ,11.17244664595758,0.25743002,0.12831998,0.11622677,0.1599529
19369,10.393711624063785,0.034810007,0.41364002,0.14205326,0.34311637
6016 ,10.98600390545852,0.14052999,0.46773,0.2843768,0.33342686
2691 ,10.823994090333697,0.15237999,0.041239977,0.12090331,0.112723
14605,10.41137110685807,0.053529978,0.38020003,0.17624632,0.24188212
2405 ,10.635201193947044,0.08032,0.29223,0.32030246,0.29004568
32127,10.180561066210148,0.047590017,0.24228,0.27298048,0.23918995
50903,10.007992333330222,0.15779,0.046959996,0.0881767,0.089451805
12720,10.504786500321389,0.02241999,0.36949003,0.24859811,0.2882228
1342 ,11.119741387078026,0.27938002,0.29832,0.08819546,0.083212435
253  ,10.949703835014345,0.108420014,0.44899,0.15764941,0.34616837
127  ,10.90119485151846,0.24172002,0.30844003,0.10737009,0.11448012
3929 ,10.76360254287555,0.086459994,0.20492,0.20129278,0.22642094
