ID,LMSTAR,ELLIP,INTR_ELLIP,LAMBDAR_RE,LAMBDAR_RE_EO
3646.0,11.08293875826206,0.222774,0.27753,0.126405,0.123956
1457.0,9.743163672812841,0.240137,0.158377,0.331848,0.35139
3793.0,10.268810836203954,0.489157,0.283047,0.584547,0.501521
4592.0,9.691025344260595,0.359808,0.381802,0.359185,0.383136
5985.0,10.083735076316259,0.307558,0.40596,0.249989,0.265829
5213.0,9.876805869468114,0.1593,0.246696,0.550882,0.629961
231.0,10.589472381003759,0.473968,0.412569,0.452581,0.40775
7944.0,10.17044695986118,0.203915,0.280568,0.349508,0.43314
2666.0,10.64018973482456,0.280574,0.372213,0.527647,0.629595
3507.0,10.94339617861118,0.507244,0.26373,0.159501,0.187231
6236.0,9.982690421470068,0.357844,0.291266,0.337545,0.32281
1195.0,10.104145614035986,0.350974,0.314775,0.433181,0.432103
6363.0,9.71948775423374,0.163337,0.192063,0.125733,0.11126
272.0,9.948302832969091,0.15168,0.0669461,0.164258,0.213034
1880.0,9.89484175813999,0.242221,0.279355,0.359509,0.342833
7917.0,10.3130145944437,0.0576329,0.582785,0.767136,0.77065
4940.0,10.769882766135595,0.334551,0.546091,0.366231,0.525781
7919.0,10.562655059226415,0.328577,0.203392,0.374907,0.546149
52.0,9.744392959006689,0.479513,0.438649,0.577584,0.544277
4613.0,10.4366718210062,0.26651,0.448338,0.400034,0.4256
1218.0,11.040043441184423,0.418887,0.333596,0.60089,0.538463
1821.0,10.362051574118993,0.254436,0.411958,0.335279,0.387261
5878.0,10.407648650535009,0.341193,0.596943,0.245097,0.681536
1691.0,10.64334735048618,0.282834,0.124968,0.466016,0.633665
911.0,10.766530600913427,0.516813,0.382619,0.76615,0.740433
6469.0,10.75093135011997,0.392937,0.559935,0.697794,0.746284
234.0,9.933677283652685,0.318487,0.372313,0.573272,0.587766
3379.0,10.488869277366064,0.245997,0.601357,0.321699,0.623685
6071.0,11.013459769614599,0.152508,0.198907,0.294237,0.340929
7091.0,11.107493964560888,0.238789,0.343467,0.351177,0.382881
11102.0,10.614574042685888,0.369415,0.566837,0.646756,0.690085
4255.0,9.77048358095493,0.368029,0.216576,0.136526,0.129867
1662.0,10.033856955893896,0.332733,0.339304,0.544323,0.567738
9653.0,10.268646804221532,0.267825,0.328327,0.440482,0.450231
6108.0,10.840600577720068,0.447176,0.572628,0.49989,0.605491
2437.0,10.683436004050634,0.135267,0.584277,0.344252,0.480475
9592.0,10.647647467978857,0.308127,0.261252,0.495831,0.455026
8139.0,10.01011046541538,0.429936,0.403404,0.552184,0.563184
4135.0,10.542407599814794,0.449913,0.433148,0.398709,0.362166
6557.0,10.152304259665868,0.444196,0.496247,0.509472,0.55204
9995.0,11.492560950644872,0.107479,0.119148,0.029694,0.0281565
2406.0,10.796428290732763,0.400906,0.510867,0.526377,0.542142
722.0,9.983545867331884,0.359032,0.330397,0.185848,0.228189
